Climate Emergency Declaration (CED) data sheet,,,,<-Click link in Cell A1 to view as full-screen directly in Google Drive,,,,,,,,,,,,,,,,,,,
Number of CED places:,,2366,,Total population:,"1,065,477,438",<-includes EU declaration | global % ->,,13.44%,,,,,,,,,,,,,,,
Nations with at least one CED place:,,40,,Total population:,"852,146,370",<-excluding EU declaration,,10.65%,,,,,,,,,,,,,,,
Number of national CEDs:,,18 (& EU),,Total population:,"377,163,097",<-excluding national and EU declarations,,4.71%,,,,,,,,,,,,,,,
Number of subnational state/region CEDs:,,41,,,,,,,,,,,,,,,,,,,,,
"To ask for additions or corrections to this data sheet, email info@cedamia.org",,,,,(See note re targets on the Notes tab),,,,,,,,,,,,,,,,,,
Jurisdictions (by country),,Region,Population,Date,Carbon neutral / net zero target dates,,Declaration type,Minutes / motion text,Media article,CE Action Plan,Council news,Agenda item,Council majority / strongest group,Council composition,C40,ICLEI,Covenant of Mayors,Under2,Carbon Neutral Cities Alliance,Climate Alliance,Cities Power Partnership,Race to Zero,Fossil Fuel Non-proliferation Treaty
Inner West Council,,NSW,"198,024",14 May 2019,2025,less than in 2017 in 2036,Acknowledged CE,https://innerwest.infocouncil.biz/Open/2019/05/C_14052019_MIN_3696.PDF,,https://www.innerwest.nsw.gov.au/live/environment-and-sustainability/at-council/response-to-climate-change/climate-and-renewables-strategy,,,NOC,"Labor 5, Greens NSW 5, Independents 3, Liberal 2 ",,,,,,,Yes,,
Kalamunda City Council,,WA,"6,970",25 May 2021,,,Declared CE,https://www.kalamunda.wa.gov.au/docs/default-source/agenda-and-minutes/2021/ordinary-council-meeting-minutes--25-may-2021.pdf?sfvrsn=2d4a2bf6_8,https://echonewspaper.com.au/kalamunda-signs-climate-change-statement-and-declares-emergency/,https://engage.kalamunda.wa.gov.au/climatechangeaction,,https://kalblob.blob.core.windows.net/kallibrary/docs/default-source/agenda-and-minutes/2021/ordinary-council-meeting-agenda---25-may-2021.pdf?sfvrsn=aec0896c_2,,,,,,,,,,,
Kiama Municipal Council,,NSW,"23,006",17 Dec 2019,2031,,Acknowledged CE,https://www.cedamia.org/wp-content/uploads/2020/01/Kiama-17-December-2019-Ordinary-Council-Minutes.pdf,,https://www.kiama.nsw.gov.au/Services/Environment/Climate-change/Strategies-and-plans-climate-change,,,Independent,"Independents 7, Greens 2",,,,,,,Yes,,
Kingborough Council,,TAS,"37,734",8 Jul 2019,,,Climate & Biodiversity,https://www.kingborough.tas.gov.au/wp-content/uploads/2019/07/Minutes-No.-14-8-July-2019-Public-Copy.pdf,https://www.abc.net.au/news/2019-07-09/tas-daily-briefing-tuesday-9th-july/11289910,https://www.kingborough.tas.gov.au/wp-content/uploads/2019/06/Kingborough-Climate-Change-Plan.pdf,,https://www.kingborough.tas.gov.au/wp-content/uploads/2019/07/Agenda-No.-14-8-July-2019-Public-Copy.pdf,Unaffiliated,Unaffiliated 10,,,,,,,,,
Kingston City Council,,VIC,"163,431",28 Jan 2020,2025,2030,Climate & Ecological,https://www.cedamia.org/wp-content/uploads/2020/02/Kingston-Minutes-Ordinary-Meeting-of-Council-28-January-2020.pdf,https://www.miragenews.com/kingston-council-declares-a-climate-emergency-to-rounds-of-applause/,https://www.yourkingstonyoursay.com.au/ceerp,,https://www.kingston.vic.gov.au/About-Us/Council/Council-Meetings/Agendas-and-Minutes,NOC," Labor: 3, Liberal: 3, Independent: 3",,,,,,,,,
Knox City Council,,VIC,"165,147",27 Sep 2021,2030,2040,"Recognised CE 27 Sept 2021
Declared CE 25 July 2022",https://www.knox.vic.gov.au/sites/default/files/2021-10/2021-09-27%20-%20Minutes%20Meeting%20of%20Council_.pdf,,https://www.knox.vic.gov.au/our-council/policies-strategies-and-plans/climate-change-response-plan,,,Independent,"Independent 8, Liberal 1",,,,,,,,,
Lane Cove Council,,NSW,"39,486",16 Sep 2019,,2050,Recognised CE,http://lccweb.lanecove.nsw.gov.au/bps/Open/2019/CNL_16092019_MIN_WEB.HTM,https://inthecove.com.au/2019/09/17/lane-cove-council-declares-climate-emergency/,http://ecouncil.lanecove.nsw.gov.au/trim/DocumentLink.asp?RecId=53526/21,,,Independent,"Independents 5, Liberal 3, Labor 1 ",,,,,,,Yes,Yes,
Launceston City Council,,TAS,"67,449",8 Aug 2019,2025,pending,Declared CE,https://www.cedamia.org/wp-content/uploads/2019/11/Launceston-Council-Minutes-8-August-2019.pdf,https://www.examiner.com.au/story/6318457/council-declares-climate-emergency/,https://www.launceston.tas.gov.au/Natural-Environment-and-Waste/Sustainability/Sustainability-Strategies-and-Plans,,,Unaffiliated,,,,,,,,Yes,,
Light Regional Council,,SA,"14,736",26 Mar 2019,2050,2050,Declared CE,https://www.light.sa.gov.au/webdata/resources/minutesAgendas/Minutes%20Council-26March2019.pdf,,https://lgasa-search.squiz.cloud/s/redirect?collection=light-regional-council-meta&url=https%3A%2F%2Fwww.light.sa.gov.au%2F__data%2Fassets%2Fpdf_file%2F0022%2F503662%2FSustainability-Strategy-and-Action-Policy.pdf&auth=LvUlbpUNN8zjnDYEA6Fl5w&profile=_default&rank=3&query=climate+action+plan,,,Unaffiliated,,,,,,,,,,
Lismore City Council,,NSW,"43,843",13 Aug 2019,,,Declared CE,https://www.lismore.nsw.gov.au/infocouncil2/Open/2019/08/OC_13082019_MIN_WEB.htm,,https://yoursay.lismore.nsw.gov.au/56580/widgets/290645/documents/165748,,https://www.lismore.nsw.gov.au/infocouncil2/Open/2019/08/OC_13082019_AGN_AT_WEB.htm,NOC,"Independents 5, Labor 3, Greens 2, Our Sustainable Future 1",,,,,,,Yes,,
Liverpool City Council,,NSW,"27,084",27 Jul 2022,,,Recognised CE,http://liverpool.infocouncil.biz/Open/2022/07/CO_20220727_MIN_459_WEB.htm,https://southwestvoice.com.au/liverpool-climate-emergency/,,,,NOC,"4 Labor, 5 Liberal, 1 Liverpool Community Independents Team (LCIT).",,,,,,,,,
Macedon Ranges Shire Council,,VIC,"49,388",24 Mar 2021,2030,,Declared CE,https://www.mrsc.vic.gov.au/About-Council/Our-Council/Meeting-Dates-Agendas-Minutes/Council-Meeting-Agendas-Minutes/Minutes-Agendas,https://www.bendigoadvertiser.com.au/story/7185625/macedon-ranges-shire-declares-climate-emergency/?cs=80,https://www.mrsc.vic.gov.au/About-Council/Our-Council/Strategies-Plans/Counting-Down-to-Zero-Net-Emissions-for-Council-Operations-Plan,,,,,,,,,,,Yes,,
Manningham Council ,,VIC,"125,508",28 Jan 2020,2028,2035,Acknowledged CE,https://www.manningham.vic.gov.au/sites/default/files/uploads/council_minutes_28_january_2020.pdf,http://warrandytediary.com.au/manningham-declares-a-climate-emergency/,draft: https://www.manningham.vic.gov.au/sites/default/files/2022-05/climate_emergency_action_plan_draft_for_public_consultation_april_2022.pdf,https://www.manningham.vic.gov.au/environment-and-sustainability,,Unaffiliated,,,,,,,,,,
Maribyrnong City Council,,VIC,"91,387",19 Feb 2019,2015 (achieved),,Acknowledged CE,https://www.cedamia.org/wp-content/uploads/2019/07/Maribyrnong-Minutes-19-February-2019.pdf,,https://www.maribyrnong.vic.gov.au/Residents/Our-environment/Climate-Emergency,https://www.maribyrnong.vic.gov.au/Residents/Our-environment/Climate-Emergency,,Labor,"Labor 4, Independent 2, Green 1",,,Yes,,,,,,Yes
Melbourne City Council,,VIC,"169,961",16 Jul 2019,Achieved (2012),2040,Declared CE,https://www.cedamia.org/ced-regions-in-australia/,,https://www.melbourne.vic.gov.au/about-council/vision-goals/eco-city/climate-change/Pages/taking-action-climate-change.aspx,https://www.melbourne.vic.gov.au/about-council/vision-goals/eco-city/climate-change/Pages/taking-action-climate-change.aspx,,Unaffiliated,,Yes,Yes,Yes,,Yes,,Yes,Yes,
Melville City Council,,WA,"101,940",15 Jun 2021,2030,2050,Declared CE,https://www.melvillecity.com.au/getattachment/fcb31069-4be3-4624-9f2e-2aee36002797/minutes-ordinary-meeting-of-the-council-15-june-2?fbclid=IwAR3UX-Td6pHzaJW0LCw5M1GmRv4Mf8jh5FXdgaGSvT60yeXlly_mZks2Z4c,,https://www.melvillecity.com.au/getattachment/waste-and-environment/environmental-sustainability/climate-change/Melville-Climate-Emergency-Declaration-Our-Road-Map-to-2030-and-beyond-(1).pdf?lang=en-AU,,https://www.melvillecity.com.au/our-city/our-council/agendas-and-minutes/ordinary-meeting-of-the-council/2021/june/agenda-ordinary-meeting-of-the-council-15-june-2/amendment-cr-fitzgerald-late-item-c21-5843-res,,,,,Yes,,,,Yes,,
MidCoast Council,,NSW,"93,288",23 Oct 2019,2040,,Recognised CE,https://www.cedamia.org/wp-content/uploads/2019/10/MidCoast-23-OCTOBER-2019-ORDINARY-MEETING-MINUTES-v3.pdf,,https://www.midcoast.nsw.gov.au/files/assets/public/document-resources/council/plans-amp-publications/climate-action-strategy-final-report-v8.pdf,https://haveyoursay.midcoast.nsw.gov.au/index.php?cID=483,,Independent,"Independents and Unaligned 8, Country Labor 2, Liberal 1 ",,,,,,,Yes,,
Mildura Rural City Council,,VIC,"55,515",26 Feb 2020,,2050,Declared CE,https://www.mildura.vic.gov.au/Council/About-Council/Agendas-Minutes-for-Council-Meetings,https://www.river1467.com.au/news/news-sport/103685-council-declares-climate-emergency,,,https://www.mildura.vic.gov.au/Council/About-Council/Agendas-Minutes-for-Council-Meetings,Independent,Independent 8 (Vacant 1),,,,,,,Yes,,
Mitcham Council,,SA,"66,834",22 Oct 2019,,,Declared CE,https://www.mitchamcouncil.sa.gov.au/__data/assets/pdf_file/0030/282459/22-October-2019-Full-Council-Minutes.pdf,https://www.facebook.com/JaneBangeParkWard/posts/978251575860072,,https://www.mitchamcouncil.sa.gov.au/__data/assets/pdf_file/0027/811566/Attachment-A-Summary-of-Greenhouse-Gas-Emission-Reduction-Achievements-003.pdf,,Unaffiliated,,,,,,,,Yes,,
Mitchell Shire Council,,VIC,"44,299",20 Sep 2021,pending,pending,Acknowledged CE,https://cdn.mitchellshire.vic.gov.au/agendas-minutes/minutes/DRAFT-Ordinary-Council-Meeting-Minutes-20-September-2021.pdf?mtime=20210921140443&focal=none,,,,,Independent,Independent 9,,,,,,,,,
Moonee Valley City Council,,VIC,"127,883",8 Oct 2019,2020,2040,Declared CE,https://www.cedamia.org/ced-regions-in-australia/,https://www.facebook.com/groups/cedamia/permalink/2118645371777531/,https://mvcc.vic.gov.au/my-council/what-we-do/planning-for-our-future/,,,Unaffiliated,,,,,,,,Yes,,
Mosman Council,,NSW,"30,877",12 Nov 2019,2030,2040,Declared CE,https://portal.mosman.nsw.gov.au/common/output/DataworksAccess.aspx?id=4gFhNwuCXLE%253d&ext=pdf,,https://mosman.nsw.gov.au/council/plans/climate-action-plan-mitigation-strategy,https://mosman.nsw.gov.au/news/2019/11/14/climate-emergency-resolution/,,Independent,"Serving Mosman 3, Residents for Mosman 2, Independent 2",,,,,,,Yes,,
Mount Alexander Shire Council,,VIC,"19,514",17 Dec 2019,2025,2030,Declared CE,https://www.mountalexander.vic.gov.au/Files/CEO/Ordinary_Meeting_of_Council_Minutes_17_December_2019.pdf,https://www.goldcentralvictoria.com.au/news/local-news/99484-mount-alexander-shire-declares-climate-emergency,https://www.mountalexander.vic.gov.au/Page/Page.aspx?page_Id=3834&h=0,,,Independent,"Independent 6, Greens 1",,,,,,,Yes,,
Mount Barker District Council,,SA,"33,397",4 Nov 2019,3%reduction/year,3%reduction/year,Recognised CE,https://www.mountbarker.sa.gov.au/__data/assets/pdf_file/0019/319051/11-04-November-2019-Council-Meeting-Minutes.pdf,,https://www.mountbarker.sa.gov.au/__data/assets/pdf_file/0026/449810/Mount-Barker-District-Climate-Change-Action-Plan-2019.pdf,,,Independent,"Independent 8, Liberal 2, Green 1",,,,,,,Yes,,
Moreland City Council,,VIC,"181,725",12 Sep 2018,,2040,Acknowledged CE,https://www.cedamia.org/ced-regions-in-australia/,,https://www.moreland.vic.gov.au/globalassets/key-docs/zero-carbon-moreland---climate-emergency-action-plan-2020-21----2024-25_.pdf,,,NOC,"Greens 4, Independent 4, Labor 2, Victorian Socialists 1",,Yes,Yes,,,,Yes,,Yes
Mornington Peninsula Shire Council,,VIC,"165,822",13 Aug 2019,Revoked April 2025,2040,Acknowledged CE,https://www.cedamia.org/ced-regions-in-australia/,,https://www.mornpen.vic.gov.au/About-Us/Strategies-Plans-Policies/Strategy-Plan-Listing/Climate-Emergency-Plan,https://www.mornpen.vic.gov.au/Your-Property/Environment/Climate-Change/Our-Climate-Emergency-Response,,Independent,All (11) Independent,,,,,,,Yes,Yes,
Moyne Shire Council,,VIC,"16,887",22 Oct 2019,,,Recognised CE,http://www.moyne.vic.gov.au/Your-Council/Council-and-Councillors/Council-Meetings/Council-Meeings-Minutes-and-Agendas,https://www.standard.net.au/story/6452180/shire-backs-calls-to-declare-climate-emergency/?cs=72,,,,Independent,,,,,,,,,,
Mundaring Shire Council,,WA,"38,157",10 Dec 2019,,,Declared CE,https://www.mundaring.wa.gov.au/AboutCouncil/Council/Documents/Unconfirmed%20Minutes%20-%20Ordinary%20Council%20meeting%2010%20December%202019.pdf,,https://www.mundaring.wa.gov.au/environment-waste/environment-sustainability/reducing-energy-and-emissions.aspx,,,Unaffiliated,,,,,,,,Yes,,
Murray Bridge Council,,SA,"20,858",14 Oct 2019,,,Declared CE,https://www.murraybridge.sa.gov.au/__data/assets/pdf_file/0016/340261/Full-Council-Minutes-14-October-2019-resized.pdf,,,http://www.murraybridge.sa.gov.au/page.aspx?u=481&c=35434,,Unaffiliated,,,,,,,,,,
Newcastle City Council,,NSW,"164,104",28 May 2019,2030,2040,Recognised CE,https://www.newcastle.nsw.gov.au/getattachment/ac181a65-d216-4a55-84f8-df16f9d44897/Documentation-Ordinary-Council-Meeting-28-May-2019.aspx,,"https://newcastle.nsw.gov.au/Newcastle/media/Documents/Strategies,%20Plans%20and%20Policies/Plans/Climate-Action-Plan.pdf",,,Labor,"Labor 7, Liberal 1, Independents 4, Greens 1",,,,,,,Yes,Yes,
Nillumbik Shire Council,,VIC,"6,491",26 Apr 2022,2030,2035,Declared CE,https://nillumbik.infocouncil.biz/Open/2022/04/CM_26042022_MIN_1190_WEB.htm,,https://www.nillumbik.vic.gov.au/Explore/Climate-and-sustainability/Climate-change#section-1,,,Independent,"Indepndent 6, Greens 1",,,,,,,Yes,,
Noosa Shire Council,,QLD,"55,369",18 Jul 2019,2026,,Declared CE,https://www.noosa.qld.gov.au/documents/40217326/41799446/2019-07-18%20Ordinary%20Meeting%20Minutes.pdf,https://www.brisbanetimes.com.au/national/queensland/why-this-south-east-queensland-council-declared-a-climate-emergency-20190724-p52acd.html,https://www.noosa.qld.gov.au/downloads/file/3162/climate-change-response-plan,,,Independent,Independent (all) 7,,,,,,,Yes,,
North Sydney Council,,NSW,"74,172",22 Jul 2019,2030,65% by 2030,Recognised CE,https://www.cedamia.org/wp-content/uploads/2019/07/North-Sydney-Minutes-2.pdf,,https://www.northsydney.nsw.gov.au/files/assets/public/docs/4_environment_amp_waste/sustainability/environmental_sustainability_strategy_2030.pdf,,,Independent,"Independents 9, Liberal Democratic 1",,,,,,,Yes,Yes,
Northern Beaches Council,,NSW,"271,278",27 Aug 2019,2030,2030,Declared CE,https://files.northernbeaches.nsw.gov.au/sites/default/files/documents/meetings/edit-meeting/em-council-meeting-tuesday-27-august-2019/signedminutes-ordinarycouncilmeeting-20190827.pdf,https://www.facebook.com/TheSustainableHour/photos/a.571288192944360/3119298564809964/?type=3&theater&notif_t=page_post_reaction&notif_id=1569726481727720,https://s3.ap-southeast-2.amazonaws.com/hdp.au.prod.app.nthbch-yoursay.files/6815/7680/5150/FINAL_-_ADOPTED_-_Protect_Create_Live_Environment_and_Climate_Change_Strategy_2040_-_Dec_2019.PDF,,,NOC,"Your Northern Beaches Independent Team 6, Liberal 5, Independent 2, Good for Manly 1, Greens 1 ",,,,,,,Yes,,
Northern Midlands Council,,TAS,"13,300",19 Oct 2020,,,Declared CE,https://www.northernmidlands.tas.gov.au/source-assets/files/2020-Council-Minutes/2020-10-19-MINUTES-open-council.pdf,https://www.examiner.com.au/story/6989545/states-fourth-council-declares-climate-emergency/,,,,,,,,,,,,Yes,,
Onkaparinga City Council,,SA,"175,204",30 Jan 2023,2040,,Declared CE,https://www.onkaparingacity.com/files/sharedassets/public/agendas-and-minutes/ceopmc/council-meetings/minutes-of-adjourned-council-meeting-17-january-2023-held-on-30-january-2023-final.pdf,,,https://www.onkaparinganow.com/News-listing/climate-emergency,,NOC,,,,,,,,Yes,,
Port Adelaide Enfield City Council,,SA,"126,120",8 Oct 2019,,,Recognised CE,https://www.cityofpae.sa.gov.au/__data/assets/pdf_file/0025/410695/Minutes-Council-Meeting-8-October.pdf,,,,,Independent,"Independent 12, Labor 5",,Yes,Yes,,,,Yes,,
Port Lincoln City Council,,SA,"14,064",19 Aug 2019,,,Recognised CE,https://www.portlincoln.sa.gov.au/__data/assets/pdf_file/0026/154286/9.24.1.2-MIN201934-20190819-PUBLIC.pdf?fbclid=IwAR3_09cr1I9h5ij3dkm-pgKsws5rBQy7BygiyGwzgeVIoFkG4beSM537_ks,https://www.portlincolntimes.com.au/story/6362455/a-role-to-play-in-climate-change/,,,,Independent,"Independent 9, Centre Alliance 1",,,,,,,,,
Port Macquarie-Hastings Council,,NSW,"83,131",17 Mar 2021,Revoked Feb 2022,,Declared CE,https://portmacquarie.infocouncil.biz/Open/2021/03/OC_17032021_MIN.PDF,https://www.portnews.com.au/story/7171618/council-declares-we-are-in-a-global-climate-emergency/,,,,Independent,"Independent 8, Country Labor 1",,,,,,,Yes,,
Port Phillip City Council,,VIC,"113,200",18 Sep 2019,achieved 2021,2050,Declared CE,http://www.portphillip.vic.gov.au/default/Draft%20Minutes%2018%20September%20Ordinary%20Council%20Meeting%20-%20Updated.pdf,,https://www.portphillip.vic.gov.au/media/2k4a5wmo/port-phillip-climate-action-update-february-2022.pdf,https://www.sustainableportphillip.com/articles/2019/9/19/council-declares-climate-emergency,http://www.portphillip.vic.gov.au/default/15.1%20Motion%20to%20Declare%20a%20Climate%20Emergency.pdf,NOC,"Greens 3, Liberal 2, Labor 2, Independent 2",,Yes,Yes,,,,Yes,,
Queenscliffe Borough Council,,VIC,"2,982",19 Dec 2019,2031,2031,Declared CE,https://www.queenscliffe.vic.gov.au/images/council/council_meetings/Minutes_Ordinary_Meeting_of_Council_19_December_2019.pdf,https://www.facebook.com/groups/965054117165818/permalink/1034116026926293/,https://www.queenscliffe.vic.gov.au/files/assets/public/documents/your-council/projects/climate-emergency-response-plan/cerp_boq_climate_emergency_response_plan_draft.pdf,,,Unaffiliated,,,,,,,,Yes,,
Randwick City Council,,NSW,"154,265",30 Apr 2019,2030,2050,Acknowledged CE,https://businesspapers.randwick.nsw.gov.au/Open/2019/04/OC_30042019_MIN.PDF,,,https://randwickcitycouncil.cmail19.com/t/ViewEmail/d/FA35867C9D8E8C872540EF23F30FEDED/B51F90D8A0E654664AB3169DA1FD82E9,,Labor,"Labor 5, Liberal 4, Independents 3, Greens 3 ",,,,,,,Yes,,
Ryde City Council,,NSW,"127,446",28 May 2019,pending,pending,Acknowledged CE,https://www.ryde.nsw.gov.au/files/assets/public/council-meetings/2019/council-meeting-28-may-2019-minutes.pdf,https://www.pv-magazine-australia.com/2020/04/21/solar-to-pay-for-a-ticket-to-ryde/,https://www.ryde.nsw.gov.au/Community/Committees-Plans-and-Initiatives/Ryde-Resilience-Plan-2030,,,NOC,"Labor 5, Liberal 4, Independents 2, Greens 1 ",,,,,,,Yes,,
Salisbury City Council,,SA,"142,555",28 Oct 2019,,,Declared CE,https://www.cedamia.org/wp-content/uploads/2019/11/Salisbury-SA-28_10_2019_-_Minutes_-_Council_Meeting.pdf,,,,,Unaffiliated,,,,,,,,,,
South Australia state parliament,,SA,"1,771,703",31 May 2022,,2050,Declared CE,http://hansardpublic.parliament.sa.gov.au/Pages/DateDisplay.aspx#/DateDisplay/HANSARD-11-44793/HANSARD-11-44788,https://www.environment.sa.gov.au/news-hub/news/articles/2022/06/south-australia-declares-climate-emergency,https://www.environment.sa.gov.au/topics/climate-change/government-action-on-climate-change/climate-change-action-plan-2021-2025,https://www.premier.sa.gov.au/media-releases/news-items-2022/climate-emergency-declaration-passes-in-parliament,,Labor,,,,,,,,,,
Stonnington City Council,,VIC,"116,207",17 Feb 2020,2030,2030,Recognised CE,https://www.stonnington.vic.gov.au/Council/Meetings-and-Agenda/Council-Meetings-and-Agendas-2020/17-February-2020,https://www.miragenews.com/city-of-stonnington-declares-a-climate-emergency/,https://www.stonnington.vic.gov.au/News-and-notices/2021/Media-releases/Towards-zero-carbon-2030-our-Climate-Emergency-Action-Plan,https://www.stonnington.vic.gov.au/Council/Media-Centre/Media-Releases/City-of-Stonnington-declares-a-climate-emergency,,Independent,"Independent 7, Liberal 1, Labor 1",,,,,,,Yes,,
Strathbogie Shire Council,,VIC,"10,645",20 Apr 2021,2025,-,Declared CE,https://www.strathbogie.vic.gov.au/images/Council_Minutes_and_Agendas/20210420_Minutes_Decisions_Council%20Meeting_April%202021.pdf,,https://www.strathbogie.vic.gov.au/environment/climate-action/,https://www.strathbogie.vic.gov.au/council/news-a-newsletters/latest-news/1740-council-to-declare-a-climate-emergency,https://www.strathbogie.vic.gov.au/images/Council_Minutes_and_Agendas/20210420_Agenda_April%20Council%20Meeting.pdf,,,,,,,,,Yes,,
Sunshine Coast Council,,QLD,"351,424",10 Nov 2021,2041,2041,Declared CE,https://sunshinecoast.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2021/11/OM_10112021_MIN_1163.PDF,https://viewnews.com.au/post/2021/11/climate-emergency-demands-stronger-climate-action-at-state-and-federal-levels/,https://www.sunshinecoast.qld.gov.au/Council/Planning-and-Projects/Regional-Strategies/Environment-and-Liveability-Strategy-2017,,,Independent,"Indpendent 9, LNP 2",,,,,,,Yes,,
Surf Coast Shire Council,,VIC,"32,251",27 Aug 2019,achieved (2022),,Declared CE,https://www.cedamia.org/ced-regions-in-australia/,https://www.miragenews.com/climate-emergency-action-heats-up/,https://environmentsurfcoast.com.au/wp-content/uploads/2021/07/Surf-Coast-Shire-Council-Climate-Emergency-Response-Plan-2021-2031-Final-6.pdf,,https://www.surfcoast.vic.gov.au/About-us/Council/Meetings-and-minutes/Minutes-Agendas,Independent,"Independent 6, Labor 2, Liberal 1",,,,,,,,,
Swan City Council,,WA,"155,653",28 Aug 2019,,,Recognised CE,https://www.cedamia.org/ced-regions-in-australia/,,https://www.swan.wa.gov.au/Your-Community/Have-your-say/Community-consultations/Sustainable-Environment-Strategy-consultation?mc_cid=2f75dc423e&mc_eid=58d6fd240e,,https://www.swan.wa.gov.au/Your-Council/Council/Council-Meetings/Latest-Ordinary-Meeting-of-Council-Agenda-August-28-2019,Unaffiliated,,,,,,,,Yes,,
Sydney City Council,,NSW,"240,229",24 Jun 2019,Achieved (2008),2035,Declared CE,https://meetings.cityofsydney.nsw.gov.au/documents/s30506/Our%20Response%20to%20the%20Climate%20Emergency.pdf,,https://meetings.cityofsydney.nsw.gov.au/documents/s52041/Attachment%20A%20-%20Draft%20Environmental%20Strategy%202021-2025.pdf,https://www.facebook.com/clovermooresydney/photos/a.196072180430723/2445354708835781/,,Independent,"Clover Moore Independent Team 5, Liberal 2, Labor 1, Sydney Matters Independent Team 1, Independent 1 ",Yes,Yes,Yes,,Yes,,Yes,Yes,Yes
